,nsf_proposal_links_v0,skills
0,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"{'industry', 'higher education', 'engineering', 'professional development', 'development', 'science engineering', 'material', 'economic development'}"
1,https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"{'engineering', 'science engineering', 'environmental engineering', 'chemical'}"
2,https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"{'theoretical foundation', 'computer science'}"
3,https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"{'industry', 'continued advancement', 'economic impact', 'development', 'security', 'machine learning', 'learning', 'ai', 'artificial intelligence'}"
4,https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"{'science engineering', 'project develop', 'engineering', 'information science', 'communication', 'computer information'}"
5,https://www.nsf.gov/pubs/2020/nsf20589/nsf20589.htm,"{'property', 'industry', 'design synthesis', 'polymer', 'physic', 'engineering', 'biomaterials', 'novel design', 'national science', 'united state', 'development', 'material unique', 'control', 'science foundation', 'fundamental understanding', 'lead new', 'synthesis characterization', 'material', 'processing', 'synthesis', 'discovery'}"
6,https://www.nsf.gov/pubs/2020/nsf20588/nsf20588.htm,"{'property', 'industry', 'design synthesis', 'engineering', 'novel design', 'united state', 'development', 'material unique', 'control', 'chemistry', 'fundamental understanding', 'lead new', 'synthesis characterization', 'material', 'processing', 'synthesis', 'solid state', 'discovery', 'electronic photonic'}"
7,https://www.nsf.gov/pubs/2020/nsf20586/nsf20586.htm,"{'chemistry', 'chemical'}"
8,https://www.nsf.gov/pubs/2020/nsf20584/nsf20584.htm,"{'industry', 'revolve around', 'engineering', 'national science', 'computer information', 'directorate engineering', 'science technology', 'science foundation', 'science engineering', 'experience new', 'material', 'area', 'information science', 'computer science'}"
9,https://www.nsf.gov/pubs/2020/nsf20582/nsf20582.htm,"{'national science', 'science foundation', 'electronic photonic', 'broad spectrum', 'polymer', 'molecular dynamic', 'material soft', 'material state', 'soft material', 'material', 'statistical mechanic', 'physic', 'biomaterials', 'polymeric material', 'dynamic', 'area', 'learning', 'material system', 'solid state', 'property', 'development', 'chemistry', 'fundamental understanding', 'soft matter', 'method used', 'machine learning', 'modeling'}"
10,https://www.nsf.gov/pubs/2020/nsf20577/nsf20577.htm,"{'imaging', 'computational method', 'catalysis', 'chemistry', 'dynamic', 'synthesis', 'chemical'}"
11,https://www.nsf.gov/pubs/2020/nsf20575/nsf20575.htm,"{'support interface', 'statistic', 'biomedical', 'health', 'national science', 'science foundation', 'biomedical science', 'national institute'}"
12,https://www.nsf.gov/pubs/2020/nsf20574/nsf20574.htm,"{'chemical', 'communication'}"
13,https://www.nsf.gov/pubs/2020/nsf20566/nsf20566.htm,"{'ha long', 'algorithm', 'health', 'security', 'ai system', 'decision support', 'support system', 'machine learning', 'learning', 'ai', 'artificial intelligence'}"
14,https://www.nsf.gov/pubs/2020/nsf20564/nsf20564.htm,{'synthesis'}
15,https://www.nsf.gov/pubs/2020/nsf20563/nsf20563.htm,"{'personalized medicine', 'automation', 'civil', 'energy', 'security', 'machine learning', 'learning', 'range application', 'artificial intelligence'}"
16,https://www.nsf.gov/pubs/2020/nsf20560/nsf20560.htm,"{'biological process', 'engineering', 'experimental theoretical', 'energy', 'science engineering', 'modeling', 'synthesis', 'including limited', 'energy transport', 'chemical'}"
17,https://www.nsf.gov/pubs/2020/nsf20557/nsf20557.htm,"{'system application', 'communication', 'thing iot', 'high speed', 'application including', 'wireless communication', 'internet thing'}"
18,https://www.nsf.gov/pubs/2020/nsf20553/nsf20553.htm,"{'including engineering', 'engineering', 'development'}"
