,researcher_name,skills
0,"Agostinelli, Forest","{'search', 'artificial intelligence', 'reinforcement learning', 'bioinformatics', 'deep learning'}"
1,"Ahmad, Iftikhar","{'content algan', 'inc ph', 'aluminum content', 'semiconductor including', 'fabrication novel high power electronic photonic device', 'ph texas', 'photonic device', 'high power', 'nitride gallium', 'growth study', 'fabrication novel', 'texas tech', 'previous position', 'wide bandgap', 'simulation device', 'inc ph texas tech universityresearch growth study ultra wide bandgap semiconductor including high aluminum content algan', 'novel high', 'computer simulation device', 'position senior', 'sensor electronic', 'bandgap semiconductor', 'boron nitride gallium oxide', 'gallium oxide', 'senior scientist', 'universityresearch growth', 'electronic technology', 'study ultra', 'including high', 'electronic photonic', 'sensor electronic technology', 'ultra wide', 'tech universityresearch', 'computer simulation', 'high aluminum', 'previous position senior scientist', 'power electronic', 'boron nitride'}"
2,"Alexeev, Oleg S.","{'associated active', 'catalytic data', 'product', 'used establish', 'reaction involving', 'russiacatalytic process surface take place sequence elementary reaction involving adsorbed reactant', 'supported metal', 'ph', 'adsorbed specie', 'combination various', 'objective program', 'including tpd', 'support interface', 'catalysis considerable', 'institute catalysis', 'influence promoter', 'take place', 'adsorbed reactant', 'novosibirsk', 'cluster particle', 'particle size', 'boreskov institute catalysis', 'site catalyst', 'goal focused', 'pursued application', 'establish dependence', 'data used', 'promoter structure', 'involving adsorbed', 'boreskov institute', 'structure metal', 'metal support', 'cluster aggregate', 'structure metal support interface', 'experimental method', 'catalyst adsorbed', 'used characterize', 'property metal', 'information gained', 'catalyst surface', 'along chemisorption', 'sequence elementary', 'catalytic material', 'reaction intermediate', 'application combination', 'active site', 'structure catalytic', 'structure active site', 'considerable information', 'technique along', 'condition catalysis', 'place sequence', 'xps', 'cluster support', 'russiam', 'understanding structure', 'program pursued', 'exafs', 'reaction intermediate associated active site catalyst surface goal focused fundamental understanding structure metal support interface', 'uv visible', 'structure active', 'structure metal cluster support', 'hrtem', 'process surface', 'various experimental', 'dependence catalytic', 'method characterization', 'intermediate associated', 'surface goal', 'focused fundamental', 'influence promoter structure catalytic property supported metal cluster aggregate objective program pursued application combination various experimental method characterization catalytic material spectroscopic technique', 'material spectroscopic', 'actual condition', 'ftir', 'surface take', 'specie actual', 'tpr', 'metal cluster', 'characterize active', 'aggregate objective', 'fundamental understanding', 'gained technique', 'characterization catalytic', 'russiacatalytic process', 'spectroscopic technique', 'elementary reaction', 'used characterize active site catalyst adsorbed specie actual condition catalysis considerable information gained technique along chemisorption catalytic data used establish dependence catalytic property metal cluster particle size', 'xrd', 'catalytic property', 'novosibirsk state', 'chemisorption catalytic', 'property supported'}"
3,"Ali, Mohammod","{'engineering technology', 'program director', 'swearingenroom main', 'mohammod ali', 'ha working', 'ipa intergovernmental', 'prof ali', 'main streetcolumbia', 'foundation nsf', 'ph degree', 'received sc', 'assignment division', 'director national', 'science foundation', 'electronic engineering', 'department electrical', 'system directorate', 'professor department', 'cyber system', 'personnel act', 'respectively victoria', 'canada', 'engineering prof', 'ha working program director national science foundation nsf ipa intergovernmental personnel act assignment division electrical', 'working program', 'division electrical', 'dhaka received', 'sc ph', 'sc mohammod ali professor department electrical engineering usc july', 'directorate engineering', 'sc mohammod', 'nsf ipa', 'cyber system directorate engineering prof ali received sc electrical electronic engineering bangladesh engineering technology', 'ali received', 'communication', 'usc july', 'electrical engineering', 'sc electrical', 'bangladesh engineering', 'ali professor', 'intergovernmental personnel', 'act assignment', 'engineering bangladesh', 'swearingenroom main streetcolumbia', 'dhaka received sc ph degree electrical engineering', 'electrical electronic', 'national science', 'degree electrical', 'engineering usc', 'british columbia'}"
4,"Ammal, Salai C.","{'bharathidasan', 'ammal pdfph', 'cv dr', 'cv dr ammal pdfph', 'dr ammal', 'india'}"
5,"Bakos, Jason D. ","{'computer architecture', 'embedded system', 'reconfigurable computing', 'performance computing', 'heterogeneous computing', 'high performance computing', 'high performance'}"
6,"Banerjee, Sourav ","{'acoustic', 'metamaterials', 'biomedical', 'ultrasonics', 'wave propagation'}"
7,"Bayat, Mahmoud","{'structural health', 'health monitoring', 'structural health monitoring', 'earthquake eng', 'probabilistic analysis', 'nonlinear vibration', 'machine learning'}"
8,"Bayoumi, Abdel-Moez E. ","{'department energy', 'prognosis life', 'life prediction', 'monitoring system', 'health monitoring system', 'tribology', 'national science foundation various industry ha published journal conference paper', 'ha received', 'predictive maintenance', 'industry experience currently director mcnair aerospace center', 'biomedical', 'hewlett packard', 'program mechanical', 'biomedical engineering', 'health monitoring', 'engineering activity', 'published journal', 'material engineering', 'sc bayoumi', 'conference paper', 'ha actively', 'ha published', 'developing strong', 'based maintenance', 'nuclear aerospace engineering activity focused mechanical behavior material', 'associate dean', 'actively involved', 'wa professor', 'science foundation', 'professor mechanical', 'condition based maintenance', 'north state', 'involved developing', 'year teaching', 'mcnair aerospace', 'department defense', 'center predictive', 'nuclear aerospace', 'director mcnair', 'funding department', 'foundation various', 'mechanical aerospace', 'engineering washington', 'behavior material', 'national science', 'joining usc', 'main streetroom', 'diagnosis prognosis life prediction mechanical system', 'digital transformation dr bayoumi ha received funding department defense', 'digital transformation', 'dr bayoumi', 'mechanical material', 'mechanical biomedical', 'ha year', 'aerospace engineering', 'condition based', 'state ha', 'associate dean corporate relation professor mechanical biomedical engineering prior joining usc', 'dean corporate', 'manufacturing process', 'corporate relation', 'mechanical behavior', 'director center predictive maintenance', 'transformation dr', 'industry ha', 'focused mechanical', 'engineering prior', 'prediction mechanical', 'industry experience', 'project manager hewlett packard company', 'manager hewlett', 'professor mechanical material engineering washington state ha actively involved developing strong program mechanical', 'strong program', 'relation professor', 'bayoumi ha', 'prior joining', 'mechanical system', 'wa professor mechanical aerospace engineering north state', 'engineering north', 'director center', 'journal conference', 'packard company', 'various industry', 'sc bayoumi ha year teaching', 'currently director', 'received funding', 'experience currently', 'activity focused', 'project manager', 'washington state', 'diagnosis prognosis', 'aerospace center'}"
9,"Benigni, Andrea","{'sc', 'main streetcolumbia', 'swearingenroom main streetcolumbia', 'swearingenroom main'}"
