Proposal Link,Identified Skills
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,development; economic development; engineering; higher education; industry; material; professional development; science engineering
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,chemical; engineering; environmental engineering; science engineering
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,computer science; theoretical foundation
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,ai; artificial intelligence; continued advancement; development; economic impact; industry; learning; machine learning; security
https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,communication; computer information; engineering; information science; project develop; science engineering
https://www.nsf.gov/pubs/2020/nsf20589/nsf20589.htm,biomaterials; control; design synthesis; development; discovery; engineering; fundamental understanding; industry; lead new; material; material unique; national science; novel design; physic; polymer; processing; property; science foundation; synthesis; synthesis characterization; united state
https://www.nsf.gov/pubs/2020/nsf20588/nsf20588.htm,chemistry; control; design synthesis; development; discovery; electronic photonic; engineering; fundamental understanding; industry; lead new; material; material unique; novel design; processing; property; solid state; synthesis; synthesis characterization; united state
https://www.nsf.gov/pubs/2020/nsf20586/nsf20586.htm,chemical; chemistry
https://www.nsf.gov/pubs/2020/nsf20584/nsf20584.htm,area; computer information; computer science; directorate engineering; engineering; experience new; industry; information science; material; national science; revolve around; science engineering; science foundation; science technology
https://www.nsf.gov/pubs/2020/nsf20582/nsf20582.htm,area; biomaterials; broad spectrum; chemistry; development; dynamic; electronic photonic; fundamental understanding; learning; machine learning; material; material soft; material state; material system; method used; modeling; molecular dynamic; national science; physic; polymer; polymeric material; property; science foundation; soft material; soft matter; solid state; statistical mechanic
https://www.nsf.gov/pubs/2020/nsf20577/nsf20577.htm,catalysis; chemical; chemistry; computational method; dynamic; imaging; synthesis
https://www.nsf.gov/pubs/2020/nsf20575/nsf20575.htm,biomedical; biomedical science; health; national institute; national science; science foundation; statistic; support interface
https://www.nsf.gov/pubs/2020/nsf20574/nsf20574.htm,chemical; communication
https://www.nsf.gov/pubs/2020/nsf20566/nsf20566.htm,ai; ai system; algorithm; artificial intelligence; decision support; ha long; health; learning; machine learning; security; support system
https://www.nsf.gov/pubs/2020/nsf20564/nsf20564.htm,synthesis
https://www.nsf.gov/pubs/2020/nsf20563/nsf20563.htm,artificial intelligence; automation; civil; energy; learning; machine learning; personalized medicine; range application; security
https://www.nsf.gov/pubs/2020/nsf20560/nsf20560.htm,biological process; chemical; energy; energy transport; engineering; experimental theoretical; including limited; modeling; science engineering; synthesis
https://www.nsf.gov/pubs/2020/nsf20557/nsf20557.htm,application including; communication; high speed; internet thing; system application; thing iot; wireless communication
https://www.nsf.gov/pubs/2020/nsf20553/nsf20553.htm,development; engineering; including engineering
https://www.nsf.gov/pubs/2020/nsf20552/nsf20552.htm,business; chemical; logistics; machine design; material; production
https://www.nsf.gov/pubs/2020/nsf20544/nsf20544.htm,computer information; engineering; information science; national science; science engineering; science foundation
https://www.nsf.gov/pubs/2020/nsf20541/nsf20541.htm,cell cell; cell type; chemical; control; develop strategy; dynamic; foundation nsf; fundamental understanding; national science; product; science foundation
https://www.nsf.gov/pubs/2020/nsf20540/nsf20540.htm,activity focused; area; artificial intelligence; computer information; deep learning; engineering; graduate student; information science; learning; national science; new york; principal investigator; science engineering; science foundation
https://www.nsf.gov/pubs/2020/nsf20539/nsf20539.htm,computer science; development; foundation nsf; material; national science; professional development; science foundation; teaching
https://www.nsf.gov/pubs/2020/nsf20522/nsf20522.htm,development; robotics; united state
https://www.nsf.gov/pubs/2020/nsf20517/nsf20517.htm,chemical; engineering; environmental engineering; science engineering
https://www.nsf.gov/pubs/2020/nsf20514/nsf20514.htm,area; area future; engineering; foundation nsf; national science; program director; science engineering; science foundation
https://www.nsf.gov/pubs/2020/nsf20513/nsf20513.htm,area; area future; engineering; foundation nsf; national science; program director; science engineering; science foundation
https://www.nsf.gov/pubs/2020/nsf20511/nsf20511.htm,area; artificial intelligence; big data; communication; control; cyber system; energy; engineering; fuel; information science; learning; machine learning; national science; science foundation; security; synthesis; system application
https://www.nsf.gov/pubs/2020/nsf20510/nsf20510.htm,chemical; civil; communication; cyber system; directorate engineering; division electrical; engineering; national science; review process; science foundation
https://www.nsf.gov/pubs/2020/nsf20505/nsf20505.htm,area; development; full professor; national science; professional development; retention; science foundation; track; year
https://www.nsf.gov/pubs/2020/nsf20503/nsf20503.htm,ai; artificial intelligence; continued advancement; development; economic impact; industry; learning; machine learning; security
https://www.nsf.gov/pubs/2020/nsf20501/nsf20501.htm,chemical; combustion; dynamic; engineering; fluid dynamic; foundation nsf; national science; science foundation; thermal transport; transport phenomenon; transport process
https://www.nsf.gov/pubs/2020/nsf20500/nsf20500.htm,chemical; civil; engineering; foundation nsf; mechanobiology; national science; science foundation; tissue engineering
https://www.nsf.gov/pubs/2019/nsf19614/nsf19614.htm,capstone design; engineering; engineering department; engineering education; engineering material; first year; learning; material; professional engineer; professional practice; year
https://www.nsf.gov/pubs/2019/nsf19613/nsf19613.htm,area; computer information; embedded system; engineering; information science; learning; machine learning; modeling; science engineering; synthesis; system application; year
