Researcher Name,Processed Skills
"Agostinelli, Forest",artificial intelligence; bioinformatics; deep learning; reinforcement learning; search
"Ahmad, Iftikhar",aluminum content; bandgap semiconductor; boron nitride; boron nitride gallium oxide; computer simulation; computer simulation device; content algan; electronic photonic; electronic technology; fabrication novel; fabrication novel high power electronic photonic device; gallium oxide; growth study; high aluminum; high power; inc ph; inc ph texas tech universityresearch growth study ultra wide bandgap semiconductor including high aluminum content algan; including high; nitride gallium; novel high; ph texas; photonic device; position senior; power electronic; previous position; previous position senior scientist; semiconductor including; senior scientist; sensor electronic; sensor electronic technology; simulation device; study ultra; tech universityresearch; texas tech; ultra wide; universityresearch growth; wide bandgap
"Alexeev, Oleg S.",active site; actual condition; adsorbed reactant; adsorbed specie; aggregate objective; along chemisorption; application combination; associated active; boreskov institute; boreskov institute catalysis; catalysis considerable; catalyst adsorbed; catalyst surface; catalytic data; catalytic material; catalytic property; characterization catalytic; characterize active; chemisorption catalytic; cluster aggregate; cluster particle; cluster support; combination various; condition catalysis; considerable information; data used; dependence catalytic; elementary reaction; establish dependence; exafs; experimental method; focused fundamental; ftir; fundamental understanding; gained technique; goal focused; hrtem; including tpd; influence promoter; influence promoter structure catalytic property supported metal cluster aggregate objective program pursued application combination various experimental method characterization catalytic material spectroscopic technique; information gained; institute catalysis; intermediate associated; involving adsorbed; material spectroscopic; metal cluster; metal support; method characterization; novosibirsk; novosibirsk state; objective program; particle size; ph; place sequence; process surface; product; program pursued; promoter structure; property metal; property supported; pursued application; reaction intermediate; reaction intermediate associated active site catalyst surface goal focused fundamental understanding structure metal support interface; reaction involving; russiacatalytic process; russiacatalytic process surface take place sequence elementary reaction involving adsorbed reactant; russiam; sequence elementary; site catalyst; specie actual; spectroscopic technique; structure active; structure active site; structure catalytic; structure metal; structure metal cluster support; structure metal support interface; support interface; supported metal; surface goal; surface take; take place; technique along; tpr; understanding structure; used characterize; used characterize active site catalyst adsorbed specie actual condition catalysis considerable information gained technique along chemisorption catalytic data used establish dependence catalytic property metal cluster particle size; used establish; uv visible; various experimental; xps; xrd
"Ali, Mohammod",act assignment; ali professor; ali received; assignment division; bangladesh engineering; british columbia; canada; communication; cyber system; cyber system directorate engineering prof ali received sc electrical electronic engineering bangladesh engineering technology; degree electrical; department electrical; dhaka received; dhaka received sc ph degree electrical engineering; director national; directorate engineering; division electrical; electrical electronic; electrical engineering; electronic engineering; engineering bangladesh; engineering prof; engineering technology; engineering usc; foundation nsf; ha working; ha working program director national science foundation nsf ipa intergovernmental personnel act assignment division electrical; intergovernmental personnel; ipa intergovernmental; main streetcolumbia; mohammod ali; national science; nsf ipa; personnel act; ph degree; prof ali; professor department; program director; received sc; respectively victoria; sc electrical; sc mohammod; sc mohammod ali professor department electrical engineering usc july; sc ph; science foundation; swearingenroom main; swearingenroom main streetcolumbia; system directorate; usc july; working program
"Ammal, Salai C.",ammal pdfph; bharathidasan; cv dr; cv dr ammal pdfph; dr ammal; india
"Bakos, Jason D. ",computer architecture; embedded system; heterogeneous computing; high performance; high performance computing; performance computing; reconfigurable computing
"Banerjee, Sourav ",acoustic; biomedical; metamaterials; ultrasonics; wave propagation
"Bayat, Mahmoud",earthquake eng; health monitoring; machine learning; nonlinear vibration; probabilistic analysis; structural health; structural health monitoring
"Bayoumi, Abdel-Moez E. ",actively involved; activity focused; aerospace center; aerospace engineering; associate dean; associate dean corporate relation professor mechanical biomedical engineering prior joining usc; based maintenance; bayoumi ha; behavior material; biomedical; biomedical engineering; center predictive; condition based; condition based maintenance; conference paper; corporate relation; currently director; dean corporate; department defense; department energy; developing strong; diagnosis prognosis; diagnosis prognosis life prediction mechanical system; digital transformation; digital transformation dr bayoumi ha received funding department defense; director center; director center predictive maintenance; director mcnair; dr bayoumi; engineering activity; engineering north; engineering prior; engineering washington; experience currently; focused mechanical; foundation various; funding department; ha actively; ha published; ha received; ha year; health monitoring; health monitoring system; hewlett packard; industry experience; industry experience currently director mcnair aerospace center; industry ha; involved developing; joining usc; journal conference; life prediction; main streetroom; manager hewlett; manufacturing process; material engineering; mcnair aerospace; mechanical aerospace; mechanical behavior; mechanical biomedical; mechanical material; mechanical system; monitoring system; national science; national science foundation various industry ha published journal conference paper; north state; nuclear aerospace; nuclear aerospace engineering activity focused mechanical behavior material; packard company; prediction mechanical; predictive maintenance; prior joining; professor mechanical; professor mechanical material engineering washington state ha actively involved developing strong program mechanical; prognosis life; program mechanical; project manager; project manager hewlett packard company; published journal; received funding; relation professor; sc bayoumi; sc bayoumi ha year teaching; science foundation; state ha; strong program; transformation dr; tribology; various industry; wa professor; wa professor mechanical aerospace engineering north state; washington state; year teaching
"Benigni, Andrea",main streetcolumbia; sc; swearingenroom main; swearingenroom main streetcolumbia
